"Number of students entered for a level 3 free standing mathematics qualification by institution, subject and grade achieved",,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,
North East Lincolnshire,130586,Franklin College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,21,5,9,6,1,0,0
North Lincolnshire,130588,John Leggott Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,19,2,4,1,4,6,2
North Lincolnshire,130588,John Leggott Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,19,9,6,1,2,0,1
North Yorkshire,130592,Selby College,Tertiary College,Free standing Maths Qual Level 3,Data Analysis,3,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,130592,Selby College,Tertiary College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,3,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,130593,Scarborough Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,7,3,1,0,1,0,2
North Yorkshire,130593,Scarborough Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,5,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,130593,Scarborough Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,7,2,3,1,0,0,1
Bedford,130597,Bedford College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Bedford,130597,Bedford College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Central Bedfordshire,130598,Central Bedfordshire College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Central Bedfordshire,130598,Central Bedfordshire College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Luton,130600,Luton Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,34,8,9,5,5,0,7
Luton,130600,Luton Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,17,2,4,1,3,1,6
Luton,130600,Luton Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,34,2,5,9,7,3,8
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,Free standing Maths Qual Level 3,Modelling with Calculus,1,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Peterborough,130613,Peterborough Regional College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,3,Supp,Supp,Supp,Supp,Supp,Supp
Peterborough,130613,Peterborough Regional College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,3,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130615,Hills Road Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Statistics,24,14,5,5,0,0,0
Cambridgeshire,130616,Long Road Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,67,9,18,15,8,3,14
Cambridgeshire,130616,Long Road Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,45,4,5,7,6,6,17
Cambridgeshire,130616,Long Road Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,67,10,12,17,12,8,8
Cheshire West and Chester,130618,West Cheshire College,General Further Education College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire East,130619,South Cheshire College,Tertiary College,Free standing Maths Qual Level 3,Data Analysis,5,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire East,130619,South Cheshire College,Tertiary College,Free standing Maths Qual Level 3,Modelling with Calculus,3,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire East,130619,South Cheshire College,Tertiary College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,5,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire West and Chester,130626,Sir John Deane's College,Further Education Sector Institution,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire West and Chester,130626,Sir John Deane's College,Further Education Sector Institution,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,130627,Cornwall College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,130627,Cornwall College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,130633,Furness College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,130633,Furness College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,130637,Barrow-in-Furness Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,33,1,0,9,9,8,6
Cumbria,130637,Barrow-in-Furness Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,21,4,1,4,1,3,8
Cumbria,130637,Barrow-in-Furness Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,33,8,9,6,5,3,2
Devon,130645,Exeter College,Tertiary College,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,2,Supp,Supp,Supp,Supp,Supp,Supp
Devon,130645,Exeter College,Tertiary College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,130648,South Devon College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,130648,South Devon College,General Further Education College,Free standing Maths Qual Level 3,Dynamics,1,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,130648,South Devon College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,1,Supp,Supp,Supp,Supp,Supp,Supp
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Southend-on-Sea,130672,South Essex College of Further and  Higher Education,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Southend-on-Sea,130672,South Essex College of Further and  Higher Education,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Essex,130674,Colchester Institute,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,6,0,0,1,1,1,3
Essex,130674,Colchester Institute,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,6,0,0,2,0,0,4
Essex,130676,Harlow College,Tertiary College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Essex,130680,The Sixth Form College Colchester,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,153,33,34,23,23,15,25
Essex,130680,The Sixth Form College Colchester,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Dynamics,15,5,2,2,1,1,4
Essex,130680,The Sixth Form College Colchester,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Hypothesis Testing,87,11,12,12,18,9,25
Essex,130680,The Sixth Form College Colchester,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,87,3,6,12,11,8,47
Essex,130680,The Sixth Form College Colchester,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,153,6,31,32,21,25,38
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
Thurrock,130682,Palmer's College,Further Education Sector Institution,Free standing Maths Qual Level 3,Data Analysis,68,17,19,12,7,7,6
Thurrock,130682,Palmer's College,Further Education Sector Institution,Free standing Maths Qual Level 3,Modelling with Calculus,47,10,9,9,6,5,8
Thurrock,130682,Palmer's College,Further Education Sector Institution,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,69,20,18,14,4,6,7
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130688,Basingstoke College of Technology,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130688,Basingstoke College of Technology,General Further Education College,Free standing Maths Qual Level 3,Modelling with Calculus,3,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130688,Basingstoke College of Technology,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130689,Farnborough College of Technology,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,4,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130689,Farnborough College of Technology,General Further Education College,Free standing Maths Qual Level 3,Modelling with Calculus,1,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130689,Farnborough College of Technology,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,4,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130690,Brockenhurst College,Tertiary College,Free standing Maths Qual Level 3,Data Analysis,75,14,13,22,6,4,16
Hampshire,130690,Brockenhurst College,Tertiary College,Free standing Maths Qual Level 3,Dynamics,34,9,5,3,4,1,12
Hampshire,130690,Brockenhurst College,Tertiary College,Free standing Maths Qual Level 3,Mathematical Principles for Personal Finance,16,5,4,2,2,2,1
Hampshire,130690,Brockenhurst College,Tertiary College,Free standing Maths Qual Level 3,Modelling with Calculus,60,6,6,13,9,12,14
Hampshire,130690,Brockenhurst College,Tertiary College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,28,5,4,5,6,2,6
Hampshire,130691,Alton College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,41,6,7,12,1,2,13
Hampshire,130691,Alton College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,25,6,2,6,2,5,4
Hampshire,130691,Alton College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,41,8,8,6,9,5,5
Hampshire,130692,Eastleigh College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130692,Eastleigh College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130695,The South Downs College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,61,11,16,19,7,4,4
Hampshire,130695,The South Downs College,General Further Education College,Free standing Maths Qual Level 3,Modelling with Calculus,52,9,14,14,7,2,6
Hampshire,130695,The South Downs College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,62,19,21,14,6,1,1
Southampton,130696,Southampton City College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,5,Supp,Supp,Supp,Supp,Supp,Supp
Southampton,130696,Southampton City College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,5,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130698,Sparsholt College Hampshire,Agriculture and Horticulture College,Free standing Maths Qual Level 3,Data Analysis,11,2,1,2,3,1,2
Hampshire,130698,Sparsholt College Hampshire,Agriculture and Horticulture College,Free standing Maths Qual Level 3,Modelling with Calculus,4,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130698,Sparsholt College Hampshire,Agriculture and Horticulture College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,11,5,3,1,1,0,1
Hampshire,130699,Totton College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,12,4,2,1,2,1,2
Hampshire,130699,Totton College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,6,0,1,2,1,0,2
Hampshire,130699,Totton College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,12,7,1,2,0,1,1
Hampshire,130700,Queen Mary's College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,37,3,7,9,2,5,11
Hampshire,130700,Queen Mary's College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,20,0,6,3,7,1,3
Hampshire,130700,Queen Mary's College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,37,8,10,11,4,1,3
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,80,11,14,15,9,13,18
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,43,11,9,7,7,1,8
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,80,18,23,19,10,2,8
Hampshire,130702,Havant College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,23,3,2,5,2,4,7
Hampshire,130702,Havant College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,13,0,1,1,3,2,6
Hampshire,130702,Havant College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,22,2,9,3,3,0,5
Hampshire,130703,The Sixth Form College Farnborough,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,173,47,35,40,20,10,21
Hampshire,130703,The Sixth Form College Farnborough,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Dynamics,40,7,8,12,5,2,6
Hampshire,130703,The Sixth Form College Farnborough,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,174,54,37,37,20,7,19
Hampshire,130703,The Sixth Form College Farnborough,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,213,96,67,29,10,3,8
Southampton,130704,Itchen College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,24,5,1,2,1,4,11
Southampton,130704,Itchen College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,8,4,0,0,0,1,3
Southampton,130704,Itchen College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,23,1,1,2,2,3,14
Hampshire,130705,St Vincent College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,14,3,1,3,2,1,4
Hampshire,130705,St Vincent College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,6,0,1,0,2,1,2
Hampshire,130705,St Vincent College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,14,3,1,5,4,0,1
Portsmouth,130706,Portsmouth College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,11,0,0,1,2,4,4
Portsmouth,130706,Portsmouth College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Statistics,11,0,0,3,3,2,3
Southampton,130707,Richard Taunton Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,54,6,5,9,10,12,12
Southampton,130707,Richard Taunton Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Dynamics,1,Supp,Supp,Supp,Supp,Supp,Supp
Southampton,130707,Richard Taunton Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,40,14,5,7,3,3,8
Southampton,130707,Richard Taunton Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,56,6,9,14,6,5,16
Hampshire,130708,Peter Symonds College,Further Education Sector Institution,Free standing Maths Qual Level 3,Data Analysis,17,1,5,3,2,1,5
Hampshire,130708,Peter Symonds College,Further Education Sector Institution,Free standing Maths Qual Level 3,Modelling with Calculus,7,0,0,4,2,0,1
Hampshire,130708,Peter Symonds College,Further Education Sector Institution,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,17,3,2,4,3,1,4
Worcestershire,130719,Worcester Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,27,7,4,5,1,3,7
Worcestershire,130719,Worcester Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,28,5,11,3,3,1,5
Kent,130730,Canterbury College,General Further Education College,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,7,1,0,1,1,1,3
Kent,130730,Canterbury College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Statistics,7,0,0,1,0,3,3
Lancashire,130737,Lancaster and Morecambe College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Lancashire,130737,Lancaster and Morecambe College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Blackpool,130739,Blackpool and the Fylde College,General Further Education College,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,3,Supp,Supp,Supp,Supp,Supp,Supp
Blackpool,130739,Blackpool and the Fylde College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,3,Supp,Supp,Supp,Supp,Supp,Supp
Lancashire,130740,Preston College,Tertiary College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Lancashire,130740,Preston College,Tertiary College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Lancashire,130741,Runshaw College,Tertiary College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Leicester,130755,Gateway Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Leicester,130755,Gateway Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Leicester,130756,Wyggeston and Queen Elizabeth I College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,130762,Lincoln College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,11,0,1,2,2,2,4
Lincolnshire,130762,Lincoln College,General Further Education College,Free standing Maths Qual Level 3,Modelling with Calculus,5,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,130762,Lincoln College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,11,1,5,1,0,0,4
Norfolk,130763,The College of West Anglia,General Further Education College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,8,2,1,2,1,0,2
Norfolk,130767,East Norfolk Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,15,1,3,5,6,0,0
Norfolk,130767,East Norfolk Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,15,3,4,5,3,0,0
Norfolk,130768,Paston Sixth Form College,Further Education Sector Institution,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,17,0,0,7,7,3,0
Norfolk,130768,Paston Sixth Form College,Further Education Sector Institution,Free standing Maths Qual Level 3,Using & Applying Statistics,17,0,0,5,8,4,0
Northamptonshire,130769,Northampton College,General Further Education College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,4,Supp,Supp,Supp,Supp,Supp,Supp
Nottingham,130787,Bilborough College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,3,Supp,Supp,Supp,Supp,Supp,Supp
Nottingham,130787,Bilborough College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,3,Supp,Supp,Supp,Supp,Supp,Supp
Oxfordshire,130789,The Henley College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,46,12,7,8,5,5,9
Oxfordshire,130789,The Henley College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,23,6,2,5,3,3,4
Oxfordshire,130789,The Henley College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,48,11,8,9,3,6,11
Shropshire,130798,Shrewsbury College of Arts and Technology,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,5,Supp,Supp,Supp,Supp,Supp,Supp
Shropshire,130798,Shrewsbury College of Arts and Technology,General Further Education College,Free standing Maths Qual Level 3,Mathematical Principles for Personal Finance,5,Supp,Supp,Supp,Supp,Supp,Supp
Shropshire,130800,Shrewsbury Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,33,6,6,7,3,3,8
Shropshire,130800,Shrewsbury Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,25,0,4,2,6,4,9
Shropshire,130800,Shrewsbury Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,33,12,7,8,3,1,2
Somerset,130804,Somerset College of Arts and Technology,General Further Education College,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,1,Supp,Supp,Supp,Supp,Supp,Supp
Somerset,130804,Somerset College of Arts and Technology,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Somerset,130808,Richard Huish College,Further Education Sector Institution,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,11,1,3,5,2,0,0
Somerset,130808,Richard Huish College,Further Education Sector Institution,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,11,0,5,5,1,0,0
Stoke-on-Trent,130817,City of Stoke-on-Trent Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,130818,West Suffolk College,General Further Education College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,130828,Godalming College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,20,2,3,1,3,0,11
Surrey,130828,Godalming College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,9,1,3,1,1,2,1
Surrey,130828,Godalming College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,20,3,2,4,3,1,7
Surrey,130831,Woking College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,130831,Woking College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,130835,Warwickshire College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,130835,Warwickshire College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,130840,King Edward VI College Nuneaton,Further Education Sector Institution,Free standing Maths Qual Level 3,Data Analysis,16,4,1,4,1,0,6
Warwickshire,130840,King Edward VI College Nuneaton,Further Education Sector Institution,Free standing Maths Qual Level 3,Modelling with Calculus,5,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,130840,King Edward VI College Nuneaton,Further Education Sector Institution,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,16,4,2,6,2,0,2
West Sussex,130843,Chichester College,General Further Education College,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,3,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,130843,Chichester College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Statistics,3,Supp,Supp,Supp,Supp,Supp,Supp
Swindon,130849,Swindon College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,3,Supp,Supp,Supp,Supp,Supp,Supp
Swindon,130849,Swindon College,General Further Education College,Free standing Maths Qual Level 3,Dynamics,1,Supp,Supp,Supp,Supp,Supp,Supp
Swindon,130849,Swindon College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,3,Supp,Supp,Supp,Supp,Supp,Supp
Swindon,130851,New College Swindon,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,27,8,4,8,4,2,1
Swindon,130851,New College Swindon,General Further Education College,Free standing Maths Qual Level 3,Dynamics,29,14,3,4,4,1,3
Swindon,130851,New College Swindon,General Further Education College,Free standing Maths Qual Level 3,Modelling with Calculus,17,2,3,1,3,2,6
Swindon,130851,New College Swindon,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,28,8,7,9,4,0,0
Harrow,131864,Harrow College,General Further Education College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Thurrock,133114,The Gateway Academy,Sponsored Academy,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Thurrock,133114,The Gateway Academy,Sponsored Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Derby,133585,Derby College,Tertiary College,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Derby,133585,Derby College,Tertiary College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
Hackney,133608,The Brooke House Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,1,Supp,Supp,Supp,Supp,Supp,Supp
Sheffield,133991,Longley Park Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,3,Supp,Supp,Supp,Supp,Supp,Supp
Sheffield,133991,Longley Park Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,3,Supp,Supp,Supp,Supp,Supp,Supp
Oxfordshire,134153,Activate Learning,General Further Education College,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,1,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,134454,Focus School - Cambridge Campus,Independent School,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
